"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7978","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260497","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7979","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260502","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7980","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260501","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7981","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260500","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7982","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260499","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7983","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260505","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7984","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260504","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7985","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260503","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7986","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260507","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7987","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260506","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7988","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261413","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7989","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261412","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7990","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261417","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7991","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261416","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7992","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261415","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7993","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261414","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7994","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261423","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7995","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261422","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7996","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261421","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7997","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261420","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7998","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261419","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7999","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/261418","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"8000","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260465","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"8001","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260466","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"8002","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206159","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","17-May-2026","VIDYA VIHAR","Payment Success","100000"
"8003","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206158","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","17-May-2026","VIDYA VIHAR","Payment Success","100000"
"8004","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206161","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","17-May-2026","VIDYA VIHAR","Payment Success","100000"
"8005","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206160","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","17-May-2026","VIDYA VIHAR","Payment Success","100000"
"8006","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206206","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","16-May-2026","VIDYA VIHAR","Payment Success","100000"
"8007","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206192","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","16-May-2026","VIDYA VIHAR","Payment Success","100000"
"8008","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206166","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","16-May-2026","VIDYA VIHAR","Payment Success","100000"
"8009","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206162","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","16-May-2026","VIDYA VIHAR","Payment Success","100000"
"8010","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206163","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","16-May-2026","VIDYA VIHAR","Payment Success","100000"
"8011","Bihar","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18036/2025-2026/206164","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","ARUN BHARTI","JAMUI(SC)","16-May-2026","VIDYA VIHAR","Payment Success","100000"
